"","Metabolite_ID","Metabolite","SuperPathway","SubPathway","HMDB","KEGG","PUBCHEM"
"252","100000936","3-methyl-2-oxobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000019","C00141","49"
"253","100000943","2-oleoylglycerol (18:1)","Lipid","Monoacylglycerol","HMDB0011537",NA,"5319879"
"254","100000961","homoarginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000670","C01924","9085"
"255","100000963","homocitrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000679","C02427","65072"
"256","100000987","2-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol","HMDB0011538",NA,"5365676"
"257","100000989","triethanolamine","Xenobiotics","Chemical","HMDB0032538","C06771","7618"
"258","100000997","3-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy","HMDB0002203",NA,"26612"
"259","100001006","N-acetylglycine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0000532",NA,"10972"
"260","100001022","threonate","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","HMDB0062620,HMDB0000943","C01620","1.51153E+12"
"261","100001033","beta-sitosterol","Lipid","Sterol","HMDB0000852","C01753","222284"
"262","100001034","indoleacetate","Amino Acid","Tryptophan Metabolism","HMDB0000197","C00954","802"
"263","100001040","1-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol","HMDB0011568",NA,"5283469"
"264","100001048","2-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol","HMDB0011533",NA,"123409"
"265","100001051","1-methylhistidine","Amino Acid","Histidine Metabolism","HMDB0000001","C01152","92105"
"266","100001054","butyrylcarnitine (C4)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","HMDB0002013","C02862","439829"
"267","100001055","isobutyrylcarnitine (C4)","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000736",NA,"168379"
"268","100001063","7-ketodeoxycholate","Lipid","Secondary Bile Acid Metabolism","HMDB0000391",NA,"188292"
"269","100001073","androsterone sulfate","Lipid","Androgenic Steroids","HMDB0002759",NA,"159663"
"270","100001081","2-pyrrolidinone","Amino Acid","Glutamate Metabolism","HMDB0002039",NA,"12025"
"271","100001083","indolepropionate","Amino Acid","Tryptophan Metabolism","HMDB0002302",NA,"3744"
"272","100001086","N-(2-furoyl)glycine","Xenobiotics","Food Component/Plant","HMDB0000439",NA,"21863"
"273","100001092","trigonelline (N'-methylnicotinate)","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","HMDB0000875","C01004","5570"
"274","100001102","dodecanedioate (C12-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000623","C02678","12736"
"275","100001104","N-acetyltyrosine","Amino Acid","Tyrosine Metabolism","HMDB0000866",NA,"68310"
"276","100001106","1,3-dimethylurate","Xenobiotics","Xanthine Metabolism","HMDB0001857",NA,"70346"
"277","100001108","3-methylxanthine","Xenobiotics","Xanthine Metabolism","HMDB0001886","C16357","70639"
"278","100001112","3-hydroxylaurate","Lipid","Fatty Acid, Monohydroxy","HMDB0000387",NA,"94216"
"279","100001121","pyridoxate","Cofactors and Vitamins","Vitamin B6 Metabolism","HMDB0000017","C00847","6723"
"280","100001125","threonylphenylalanine","Peptide","Dipeptide","HMDB0029068",NA,"7010580"
"281","100001126","gamma-glutamylvaline","Peptide","Gamma-glutamyl Amino Acid","HMDB0011172",NA,"7015683"
"282","100001129","O-acetylhomoserine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0029423","C01077","439389"
"283","100001148","5-hydroxyhexanoate","Lipid","Fatty Acid, Monohydroxy","HMDB0000409,HMDB0000525",NA,"170748"
"284","100001150","propionylglycine","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","HMDB0000783",NA,"98681"
"285","100001155","2-methylbutyrylglycine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000339",NA,"193872"
"286","100001162","propionylcarnitine (C3)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","HMDB0000824","C03017","107738"
"287","100001167","pro-hydroxy-pro","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0006695",NA,"11902893"
"288","100001170","3-hydroxy-2-ethylpropionate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000396",NA,"188979"
"289","100001178","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","Lipid","Fatty Acid, Dicarboxylate","HMDB0061112",NA,"123979"
"290","100001181","docosapentaenoate (n3 DPA; 22:5n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0006528,HMDB0001976","C16513","6441454"
"291","100001182","docosadienoate (22:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0061714","C16533","5282807"
"292","100001193","adrenate (22:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0002226","C16527","5.28284E+13"
"293","100001197","10-undecenoate (11:1n1)","Lipid","Medium Chain Fatty Acid","HMDB0033724","C13910","14891"
"294","100001198","myristoleate (14:1n5)","Lipid","Long Chain Monounsaturated Fatty Acid","HMDB0002000","C08322","5281119"
"295","100001208","1-methyl-4-imidazoleacetate","Amino Acid","Histidine Metabolism","HMDB0002820","C05828","75810"
"296","100001211","sebacate (C10-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000792","C08277","5192"
"297","100001212","guanidinosuccinate","Amino Acid","Guanidino and Acetamido Metabolism","HMDB0003157","C03139","439918"
"298","100001229","stearidonate (18:4n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0006547","C16300","5312508"
"299","100001232","5-dodecenoate (12:1n7)","Lipid","Medium Chain Fatty Acid","HMDB0000529",NA,"5312378"
"300","100001247","octanoylcarnitine (C8)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","HMDB0000791","C02838","1.23701E+13"
"301","100001251","decanoylcarnitine (C10)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","HMDB0000651",NA,"10245190"
"302","100001254","N-acetyltryptophan","Amino Acid","Tryptophan Metabolism","HMDB0013713","C03137","4.39918E+11"
"303","100001256","N-acetylphenylalanine","Amino Acid","Phenylalanine Metabolism","HMDB0000512","C03519","74839"
"304","100001257","N-acetylasparagine","Amino Acid","Alanine and Aspartate Metabolism","HMDB0006028",NA,"99715"
"305","100001262","gamma-glutamyl-epsilon-lysine","Peptide","Gamma-glutamyl Amino Acid","HMDB0003869",NA,"7015685"
"306","100001263","1-palmitoyl-GPC (16:0)","Lipid","Lysophospholipid","HMDB0010382","C04102","86554"
"307","100001266","N-acetylarginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0004620","C02562","67427"
"308","100001267","piperine","Xenobiotics","Food Component/Plant","HMDB0029377","C03882","638024"
"309","100001269","campesterol","Lipid","Sterol","HMDB0002869","C01789","173183"
"310","100001270","myristoylcarnitine (C14)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","HMDB0005066",NA,"6426854"
"311","100001271","1-stearoyl-GPC (18:0)","Lipid","Lysophospholipid","HMDB0010384",NA,"497300"
"312","100001272","1-oleoyl-GPC (18:1)","Lipid","Lysophospholipid","HMDB0002815","C03916","16081932"
"313","100001274","N-acetylthreonine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0062557",NA,"152204"
"314","100001276","N-acetylisoleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0061684",NA,"306109"
"315","100001277","10-nonadecenoate (19:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid","HMDB0013622",NA,"5312513"
"316","100001278","10-heptadecenoate (17:1n7)","Lipid","Long Chain Monounsaturated Fatty Acid","HMDB0060038",NA,"5312435"
"317","100001279","hyocholate","Lipid","Secondary Bile Acid Metabolism","HMDB0000760","C17649","92805"
"318","100001287","epiandrosterone sulfate","Lipid","Androgenic Steroids","HMDB0062657","C04555","9929317"
"319","100001293","N-acetylhistidine","Amino Acid","Histidine Metabolism","HMDB0032055","C02997","75619"
"320","100001294","gamma-glutamylglycine","Peptide","Gamma-glutamyl Amino Acid","HMDB0011667",NA,"100099"
"321","100001295","gamma-glutamyltryptophan","Peptide","Gamma-glutamyl Amino Acid","HMDB0029160",NA,"3989307"
"322","100001296","stachydrine","Xenobiotics","Food Component/Plant","HMDB0004827","C10172","115244"
"323","100001300","alpha-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000407",NA,"99823"
"324","100001313","gamma-glutamylmethionine","Peptide","Gamma-glutamyl Amino Acid","HMDB0029155",NA,"7009567"
"325","100001314","gamma-glutamylthreonine","Peptide","Gamma-glutamyl Amino Acid","HMDB0029159",NA,"76078708"
"326","100001315","p-cresol sulfate","Xenobiotics","Benzoate Metabolism","HMDB0011635",NA,"4615423"
"327","100001320","erythronate*","Carbohydrate","Aminosugar Metabolism","HMDB0000613",NA,"2781043"
"328","100001322","fibrinopeptide A*","Peptide","Fibrinogen Cleavage Peptide",NA,NA,"25081464"
"329","100001323","fibrinopeptide A, des-ala(1)*","Peptide","Fibrinogen Cleavage Peptide",NA,NA,"132993922"
"330","100001324","fibrinopeptide A, phosphono-ser(3)*","Peptide","Fibrinogen Cleavage Peptide",NA,NA,"132993923"
"331","100001332","salicyluric glucuronide*","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0240252",NA,"121596205"
"332","100001334","N-acetylproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0094701",NA,"322640"
"333","100001335","eicosenoate (20:1)","Lipid","Long Chain Monounsaturated Fatty Acid","HMDB0002231,HMDB0062436","C16526","5.28277E+18"
"334","100001337","linolenate [alpha or gamma; (18:3n3 or 6)]","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0003073,HMDB0001388","C06426,C06427","5.28093E+13"
"335","100001359","aconitate [cis or trans]","Energy","TCA Cycle","HMDB0000958,HMDB000072","C004174,C02341","4.44213E+11"
"336","100001385","metoprolol acid metabolite*","Xenobiotics","Drug - Cardiovascular",NA,NA,"62936"
"337","100001386","heme","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","HMDB0003178","C00032","26945"
"338","100001391","stearoylcarnitine (C18)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","HMDB0000848",NA,"3006797"
"339","100001392","laurylcarnitine (C12)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","HMDB000225",NA,"168381"
"340","100001393","isovalerylcarnitine (C5)","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000688","C20826","169235"
"341","100001395","1-linoleoyl-GPC (18:2)","Lipid","Lysophospholipid","HMDB0010386","C04100","11988421"
"342","100001396","7-methylxanthine","Xenobiotics","Xanthine Metabolism","HMDB0001991","C16353","68374"
"343","100001397","1,3,7-trimethylurate","Xenobiotics","Xanthine Metabolism","HMDB0002123","C16361","79437"
"344","100001398","3,7-dimethylurate","Xenobiotics","Xanthine Metabolism","HMDB0001982","C16360","83126"
"345","100001399","1,7-dimethylurate","Xenobiotics","Xanthine Metabolism","HMDB0011103","C16356","91611"
"346","100001400","1-methylurate","Xenobiotics","Xanthine Metabolism","HMDB0003099","C16359","69726"
"347","100001402","5-acetylamino-6-formylamino-3-methyluracil","Xenobiotics","Xanthine Metabolism","HMDB0011105","C16365","108214"
"348","100001403","5-acetylamino-6-amino-3-methyluracil","Xenobiotics","Xanthine Metabolism","HMDB0004400","C16366","88299"
"349","100001405","1-methylxanthine","Xenobiotics","Xanthine Metabolism","HMDB0010738","C16358","80220"
"350","100001409","N1-methylinosine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0002721",NA,"650095"
"351","100001412","N2,N2-dimethylguanosine","Nucleotide","Purine Metabolism, Guanine containing","HMDB0004824",NA,"135501639"
"352","100001413","N4-acetylcytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing","HMDB0005923",NA,"107461"
"353","100001415","N6-carbamoylthreonyladenosine","Nucleotide","Purine Metabolism, Adenine containing","HMDB0041623",NA,"161466"
"354","100001416","orotidine","Nucleotide","Pyrimidine Metabolism, Orotate containing","HMDB0000788",NA,"92751"
"355","100001417","phenylacetylglutamine","Peptide","Acetylated Peptides","HMDB0006344","C04148","92258"
"356","100001423","4-hydroxyhippurate","Xenobiotics","Benzoate Metabolism","HMDB0013678",NA,"151012"
"357","100001425","5,6-dihydrouridine","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000497",NA,"94312"
"358","100001426","3-(3-amino-3-carboxypropyl)uridine*","Nucleotide","Pyrimidine Metabolism, Uracil containing",NA,NA,"171198"
"359","100001431","1-pentadecanoylglycerol (15:0)","Lipid","Monoacylglycerol",NA,NA,"190750"
"360","100001433","1-arachidonylglycerol (20:4)","Lipid","Monoacylglycerol","HMDB11578","C13857","1.602E+14"
"361","100001435","1-linolenoylglycerol (18:3)","Lipid","Monoacylglycerol","HMDB0011569",NA,"53480978"
"362","100001436","3-ketosphinganine","Lipid","Sphingolipid Synthesis","HMDB01480","C02934","631"
"363","100001437","cysteine-glutathione disulfide","Amino Acid","Glutathione Metabolism","HMDB0000656","R00900","3080690"
"364","100001446","5-methyluridine (ribothymidine)","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000884",NA,"445408"
"365","100001452","isovalerylglycine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB00678",NA,"546304"
"366","100001454","3-hydroxydodecanedioate*","Lipid","Fatty Acid, Dicarboxylate","HMDB0000413",NA,"16663321"
"367","100001456","7-methylguanine","Nucleotide","Purine Metabolism, Guanine containing","HMDB0000897","C02242","135398679"
"368","100001461","1-stearoyl-GPE (18:0)","Lipid","Lysophospholipid","HMDB0011130",NA,"9547068"
"369","100001462","1-stearoyl-GPG (18:0)","Lipid","Lysophospholipid",NA,NA,NA
"370","100001466","3-methylcytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing","HMDB0240577",NA,"14237477"
"371","100001467","N2-methylguanosine","Nucleotide","Purine Metabolism, Guanine containing","HMDB0005862",NA,"135501934"
"372","100001468","N1-methyl-2-pyridone-5-carboxamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","HMDB0004193","C05842","69698"
"373","100001469","N1-methyl-4-pyridone-3-carboxamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","HMDB0004194","C05843","440810"
"374","100001481","1-docosahexaenoylglycerol (22:6)","Lipid","Monoacylglycerol","HMDB0011587",NA,"53480995"
"375","100001485","gamma-glutamylisoleucine*","Peptide","Gamma-glutamyl Amino Acid","HMDB0011170",NA,"22885096"
"376","100001501","oleoylcarnitine (C18:1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","HMDB0005065",NA,"6441392"
"377","100001502","gamma-glutamyl-2-aminobutyrate","Peptide","Gamma-glutamyl Amino Acid",NA,NA,NA
"378","100001509","2-methylbutyrylcarnitine (C5)","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000378",NA,"6426901"
"379","100001510","phenol sulfate","Amino Acid","Tyrosine Metabolism","HMDB0060015","C02180","74426"
"380","100001511","1-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid","HMDB0010383",NA,"24779461"
"381","100001538","lidocaine","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0014426","D00358","3676"
"382","100001539","N-ethylglycinexylidide","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0060656","C16561","24415"
"383","100001540","glutamine_degradant*","Partially Characterized Molecules","Partially Characterized Molecules",NA,NA,NA
"384","100001541","2-hydroxy-3-methylvalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000317",NA,"164623"
"385","100001550","homostachydrine*","Xenobiotics","Food Component/Plant","HMDB0033433","C08283","441447"
"386","100001551","1-arachidonoyl-GPC (20:4n6)*","Lipid","Lysophospholipid","HMDB0010395","C05208","24779476"
"387","100001561","2-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid","HMDB10383",NA,"122164832"
"388","100001562","2-palmitoyl-GPC (16:0)*","Lipid","Lysophospholipid","HMDB0061702",NA,"15061532"
"389","100001567","1-palmitoyl-GPE (16:0)","Lipid","Lysophospholipid","HMDB0011503",NA,"9547069"
"390","100001569","1-oleoyl-GPE (18:1)","Lipid","Lysophospholipid","HMDB0011506",NA,"9547071"
"391","100001570","1-linoleoyl-GPE (18:2)*","Lipid","Lysophospholipid","HMDB0011507",NA,"52925130"
"392","100001571","1-arachidonoyl-GPE (20:4n6)*","Lipid","Lysophospholipid","HMDB0011517",NA,"42607465"
"393","100001577","N-acetylcitrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000856","C15532,C02851","656979"
"394","100001579","2-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy","HMDB0031057",NA,"1.2576E+20"
"395","100001580","docosapentaenoate (n6 DPA; 22:5n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0001976","C16513","6441454"
"396","100001586","gulonate*","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","HMDB0003290","C00800","152304"
"397","100001590","isobutyrylglycine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000730",NA,"10855600"
"398","100001593","glutarylcarnitine (C5-DC)","Amino Acid","Lysine Metabolism","HMDB0013130",NA,"71317118"
"399","100001594","beta-hydroxyisovaleroylcarnitine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",NA,NA,NA
"400","100001597","tiglylcarnitine (C5:1-DC)","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0002366",NA,"22833596"
"401","100001605","catechol sulfate","Xenobiotics","Benzoate Metabolism","HMDB0059724",NA,"3083879"
"402","100001606","cholesterol sulfate","Lipid","Sterol","HMDB00653","C18043","65076"
"403","100001609","7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","Lipid","Sterol","HMDB0012458","C17337","3081085"
"404","100001611","3beta,7alpha-dihydroxy-5-cholestenoate","Lipid","Sterol","HMDB0012454","C17335","3081084"
"405","100001612","N-acetyl-aspartyl-glutamate (NAAG)","Amino Acid","Glutamate Metabolism","HMDB0001067","C12270","188803"
"406","100001613","tetradecanedioate (C14-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000872",NA,"13185"
"407","100001614","hexadecanedioate (C16-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000672","C19615","10459"
"408","100001615","octadecanedioate (C18-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000782",NA,"70095"
"409","100001617","undecanedioate (C11-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000888",NA,"15816"
"410","100001618","1-myristoylglycerol (14:0)","Lipid","Monoacylglycerol","HMDB0011561","C01885","10957631"
"411","100001620","glycerophosphoethanolamine","Lipid","Phospholipid Metabolism","HMDB0000114","C01233","123874"
"412","100001621","glycerophosphoinositol*","Lipid","Phospholipid Metabolism",NA,NA,"167572"
"413","100001624","3-(3-hydroxyphenyl)propionate","Xenobiotics","Benzoate Metabolism","HMDB0000375","C11457","91"
"414","100001635","ectoine","Xenobiotics","Chemical","HMDB0240650","C06231","126041"
"415","100001654","1-arachidonoyl-GPI (20:4)*","Lipid","Lysophospholipid","HMDB0061690",NA,"121596217"
"416","100001655","1-palmitoyl-GPI (16:0)","Lipid","Lysophospholipid","HMDB0061695",NA,"71296207"
"417","100001657","glycolithocholate sulfate*","Lipid","Secondary Bile Acid Metabolism","HMDB0002639","C11301","72222"
"418","100001658","taurolithocholate 3-sulfate","Lipid","Secondary Bile Acid Metabolism","HMDB0002580","C03642","440071"
"419","100001662","deoxycarnitine","Lipid","Carnitine Metabolism","HMDB0001161","C01181","22620"
"420","100001664","N6-succinyladenosine","Nucleotide","Purine Metabolism, Adenine containing","HMDB0000912",NA,"165243"
"421","100001668","1-ribosyl-imidazoleacetate*","Amino Acid","Histidine Metabolism","HMDB0002331","C05131","440569"
"422","100001723","alpha-hydroxycaproate","Lipid","Fatty Acid, Monohydroxy","HMDB0001624",NA,"99824"
"423","100001730","3,4-dihydroxybutyrate","Lipid","Fatty Acid, Dihydroxy","HMDB0000337",NA,"150929"
"424","100001731","indoleacetylglutamine","Amino Acid","Tryptophan Metabolism","HMDB0013240",NA,"25200879"
"425","100001733","hexanoylglutamine","Lipid","Fatty Acid Metabolism (Acyl Glutamine)",NA,NA,NA
"426","100001734","N6-acetyllysine","Amino Acid","Lysine Metabolism","HMDB0000206","C02727","92832"
"427","100001739","dihomo-linolenate (20:3n3 or n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0002925","C03242","5280581"
"428","100001740","mannitol/sorbitol","Carbohydrate","Fructose, Mannose and Galactose Metabolism","HMDB0000247,HMDB0000765","C00392,C00794","57806251"
"429","100001743","tryptophan betaine","Amino Acid","Tryptophan Metabolism","HMDB0061115","C09213","442106"
"430","100001755","4-vinylphenol sulfate","Xenobiotics","Benzoate Metabolism","HMDB0062775","C05627","6426766"
"431","100001756","4-ethylphenylsulfate","Xenobiotics","Benzoate Metabolism","HMDB0062551","C13637","20822574"
"432","100001757","thymol sulfate","Xenobiotics","Food Component/Plant","HMDB0062720","C09908","12456386"
"433","100001767","pyrraline","Xenobiotics","Food Component/Plant","HMDB0033143","C21013","14274616"
"434","100001777","1-oleoyl-GPI (18:1)","Lipid","Lysophospholipid","HMDB0061693",NA,"86289645"
"435","100001778","1-linoleoyl-GPI (18:2)*","Lipid","Lysophospholipid","HMDB0240597",NA,"11124828"
"436","100001791","2-hydroxyacetaminophen sulfate*","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0062547",NA,"86290013"
"437","100001793","2-methoxyacetaminophen sulfate*","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0062550",NA,"86290014"
"438","100001795","2-methoxyacetaminophen glucuronide*","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0240215",NA,"121596203"
"439","100001797","3-(cystein-S-yl)acetaminophen*","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0240217",NA,"171264"
"440","100001805","methylphosphate","Nucleotide","Purine and Pyrimidine Metabolism","HMDB61711",NA,"13130"
"441","100001806","o-cresol sulfate","Xenobiotics","Benzoate Metabolism","HMDB0011635",NA,"11615528"
"442","100001810","dimethylarginine (SDMA + ADMA)","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0003334,HMDB0001539","C21189,C03626","1.23831E+11"
"443","100001843","gamma-glutamylalanine","Peptide","Gamma-glutamyl Amino Acid","HMDB0029142","C03738","440103"
"444","100001851","N-acetylserine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0002931",NA,"65249"
"445","100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phosphatidylethanolamine (PE)","HMDB0008993",NA,"9546742"
"446","100001868","4-allylphenol sulfate","Xenobiotics","Food Component/Plant",NA,NA,"66633409"
"447","100001869","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","Lipid","Phosphatidylcholine (PC)","HMDB0008048",NA,"16219824"
"448","100001870","1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","Lipid","Phosphatidylethanolamine (PE)","HMDB0005322",NA,"9546747"
"449","100001876","sphinganine-1-phosphate","Lipid","Sphingolipid Synthesis","HMDB0001383",NA,"520"
"450","100001878","glycosyl-N-nervonoyl-sphingosine (d18:1/24:1)*","Lipid","Hexosylceramides (HCER)","HMDB0004975,HMDB0010712",NA,"2.00574E+15"
"451","100001882","glycosyl-N-stearoyl-sphingosine (d18:1/18:0)","Lipid","Hexosylceramides (HCER)",NA,NA,NA
"452","100001948","succinylcarnitine (C4-DC)","Energy","TCA Cycle","HMDB0061717",NA,"71464481"
"453","100001950","bilirubin (E,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","HMDB0240584",NA,"129320511"
"454","100001951","bilirubin (E,Z or Z,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","HMDB0000488","C00486","5799469"
"455","100001956","N-methylproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0094696",NA,"643474"
"456","100001977","beta-cryptoxanthin","Cofactors and Vitamins","Vitamin A Metabolism","HMDB0033844","C08591","5281235"
"457","100001987","5alpha-androstan-3beta,17beta-diol disulfate","Lipid","Androgenic Steroids","HMDB00493","C12525","90186325"
"458","100001988","5alpha-pregnan-3beta,20alpha-diol disulfate","Lipid","Progestin Steroids","HMDB0094650",NA,"118703093"
"459","100001989","glycocholenate sulfate*","Lipid","Secondary Bile Acid Metabolism",NA,NA,NA
"460","100001990","taurocholenate sulfate*","Lipid","Secondary Bile Acid Metabolism",NA,NA,NA
"461","100001992","androstenediol (3beta,17beta) disulfate (1)","Lipid","Androgenic Steroids","HMDB0240313","C04295","87120982"
"462","100001993","pregnenediol disulfate (C21H34O8S2)*","Lipid","Pregnenolone Steroids",NA,NA,NA
"463","100001994","androstenediol (3beta,17beta) disulfate (2)","Lipid","Androgenic Steroids","HMDB0240313",NA,"87120982"
"464","100001999","21-hydroxypregnenolone disulfate","Lipid","Pregnenolone Steroids",NA,NA,"134595"
"465","100002009","5alpha-pregnan-3beta,20beta-diol monosulfate (1)","Lipid","Progestin Steroids","HMDB0240580",NA,NA
"466","100002014","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","Lipid","Progestin Steroids",NA,NA,NA
"467","100002015","5alpha-pregnan-diol disulfate","Lipid","Progestin Steroids","HMDB0240581,HMDB0240582",NA,"3.08228E+13"
"468","100002017","5alpha-androstan-3alpha,17beta-diol disulfate","Lipid","Androgenic Steroids","HMDB0094682",NA,"56639109"
"469","100002018","5alpha-androstan-3alpha,17beta-diol monosulfate (1)","Lipid","Androgenic Steroids",NA,NA,"1.21596E+17"
"470","100002021","5alpha-androstan-3beta,17alpha-diol disulfate","Lipid","Androgenic Steroids","HMDB0094682",NA,"56639109"
"471","100002026","androstenediol (3alpha, 17alpha) monosulfate (2)","Lipid","Androgenic Steroids",NA,NA,NA
"472","100002027","androstenediol (3alpha, 17alpha) monosulfate (3)","Lipid","Androgenic Steroids",NA,NA,NA
"473","100002028","androstenediol (3beta,17beta) monosulfate (1)","Lipid","Androgenic Steroids","HMDB0240429",NA,"1.29671E+16"
"474","100002029","androstenediol (3beta,17beta) monosulfate (2)","Lipid","Androgenic Steroids","HMDB0240429,HMDB0186954",NA,NA
"475","100002067","pregnenediol sulfate (C21H34O5S)*","Lipid","Pregnenolone Steroids","HMDB0000774","C18044","105074"
"476","100002070","2-hydroxyglutarate","Lipid","Fatty Acid, Dicarboxylate","HMDB0059655","C02630","43"
"477","100002094","gamma-CEHC","Cofactors and Vitamins","Tocopherol Metabolism","HMDB0001931",NA,"133098"
"478","100002102","N-acetyl-beta-alanine","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0061880","C01073","76406"
"479","100002103","5-methylthioribose**","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0001087",NA,"6419710"
"480","100002106","sphingomyelin (d18:1/18:1, d18:2/18:0)","Lipid","Sphingomyelins","HMDB0012101",NA,"6443882"
"481","100002107","palmitoyl sphingomyelin (d18:1/16:0)","Lipid","Sphingomyelins","HMDB0010169",NA,"9939941"
"482","100002113","cysteine sulfinic acid","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000996","C00606","109"
"483","100002122","3-hydroxyhippurate","Xenobiotics","Benzoate Metabolism","HMDB0006116",NA,"450268"
"484","100002126","16alpha-hydroxy DHEA 3-sulfate","Lipid","Androgenic Steroids","HMDB0062544",NA,"20848950"
